ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;VKLAD;NA_VYHRY;NASLED_ZREB
116;3.10.2017;40;9;9;3;7;4;0;0;0,00000;0;500,00000;3;100,00000;25;10,00000;194;3,50000;2088;2,00000;11868,50000;26029,20000;7.10.2017
117;7.10.2017;40;0;5;2;2;7;2;0;0,00000;0;500,00000;2;100,00000;34;10,00000;241;3,50000;2545;2,00000;13872,00000;27046,98000;10.10.2017
118;10.10.2017;41;0;9;7;6;4;7;0;0,00000;0;500,00000;1;100,00000;17;10,00000;218;3,50000;2260;2,00000;12287,50000;26242,05000;14.10.2017
119;14.10.2017;41;9;7;7;7;4;1;0;0,00000;0;500,00000;3;100,00000;27;10,00000;315;3,50000;2701;2,00000;15173,00000;27707,88000;17.10.2017
120;17.10.2017;42;7;9;4;3;6;7;0;0,00000;0;500,00000;1;100,00000;20;10,00000;217;3,50000;2245;2,00000;12481,50000;26340,60000;21.10.2017
121;21.10.2017;42;1;0;1;9;6;7;0;0,00000;0;500,00000;2;100,00000;26;10,00000;269;3,50000;2695;2,00000;14457,50000;27344,41000;24.10.2017
122;24.10.2017;43;1;9;3;0;3;1;0;0,00000;0;500,00000;0;100,00000;20;10,00000;199;3,50000;2145;2,00000;12318,00000;26257,54000;28.10.2017
123;28.10.2017;43;9;4;5;3;9;7;0;0,00000;1;500,00000;6;100,00000;18;10,00000;261;3,50000;2610;2,00000;14178,50000;27202,68000;31.10.2017
124;31.10.2017;44;1;4;3;1;0;8;0;0,00000;0;500,00000;2;100,00000;19;10,00000;226;3,50000;2163;2,00000;12157,00000;26175,76000;4.11.2017
125;4.11.2017;44;0;9;2;3;2;7;0;0,00000;0;500,00000;0;100,00000;25;10,00000;267;3,50000;2371;2,00000;13521,50000;26868,92000;7.11.2017
126;7.11.2017;45;7;2;0;5;6;4;0;0,00000;0;500,00000;2;100,00000;22;10,00000;230;3,50000;2234;2,00000;11989,50000;26090,67000;11.11.2017
127;11.11.2017;45;2;9;8;7;1;8;0;0,00000;1;500,00000;1;100,00000;28;10,00000;250;3,50000;2613;2,00000;14459,50000;27345,43000;14.11.2017
128;14.11.2017;46;1;5;6;3;9;5;0;0,00000;0;500,00000;3;100,00000;26;10,00000;224;3,50000;2248;2,00000;12610,50000;26406,13000;18.11.2017
129;18.11.2017;46;5;2;1;2;7;8;0;0,00000;0;500,00000;4;100,00000;26;10,00000;249;3,50000;2451;2,00000;13791,50000;27006,08000;21.11.2017
130;21.11.2017;47;7;5;7;5;8;0;0;0,00000;0;500,00000;4;100,00000;15;10,00000;239;3,50000;2230;2,00000;12397,00000;26297,68000;25.11.2017
131;25.11.2017;47;9;8;7;3;8;2;0;0,00000;0;500,00000;1;100,00000;28;10,00000;266;3,50000;2587;2,00000;14391,00000;27310,63000;28.11.2017
132;28.11.2017;48;5;1;1;0;4;4;0;0,00000;0;500,00000;2;100,00000;23;10,00000;214;3,50000;2136;2,00000;12035,00000;26113,78000;2.12.2017
133;2.12.2017;48;1;0;7;0;3;7;0;0,00000;0;500,00000;1;100,00000;19;10,00000;239;3,50000;2492;2,00000;13741,00000;26980,43000;5.12.2017
134;5.12.2017;49;7;0;0;9;5;1;0;0,00000;0;500,00000;1;100,00000;33;10,00000;198;3,50000;2277;2,00000;12235,00000;26215,38000;9.12.2017
135;9.12.2017;49;9;3;8;7;1;1;0;0,00000;0;500,00000;0;100,00000;37;10,00000;276;3,50000;2589;2,00000;14191,00000;27209,03000;12.12.2017
136;12.12.2017;50;7;4;8;6;2;3;0;0,00000;0;500,00000;2;100,00000;18;10,00000;232;3,50000;2358;2,00000;12997,50000;26602,73000;16.12.2017
137;16.12.2017;50;6;6;9;9;2;8;0;0,00000;0;500,00000;2;100,00000;27;10,00000;310;3,50000;2889;2,00000;15765,00000;28008,62000;19.12.2017
138;19.12.2017;51;2;2;5;1;2;6;0;0,00000;0;500,00000;6;100,00000;24;10,00000;265;3,50000;2463;2,00000;13652,00000;26935,22000;23.12.2017
139;23.12.2017;51;3;5;6;7;5;9;0;0,00000;0;500,00000;2;100,00000;38;10,00000;289;3,50000;3097;2,00000;17301,00000;28788,91000;26.12.2017
140;26.12.2017;52;9;8;7;6;4;8;0;0,00000;0;500,00000;2;100,00000;14;10,00000;88;3,50000;875;2,00000;4973,00000;22526,28000;30.12.2017
141;30.12.2017;52;8;9;3;8;5;1;0;0,00000;0;500,00000;6;100,00000;40;10,00000;282;3,50000;3133;2,00000;17184,50000;28729,73000;2.1.2018
142;2.1.2018;1;8;5;9;9;5;4;0;0,00000;0;500,00000;2;100,00000;15;10,00000;212;3,50000;2145;2,00000;11563,00000;25874,00000;6.1.2018
143;6.1.2018;1;2;4;5;9;9;5;0;0,00000;0;500,00000;0;100,00000;28;10,00000;270;3,50000;2428;2,00000;13545,50000;26881,11000;9.1.2018
144;9.1.2018;2;6;1;4;0;2;1;0;0,00000;0;500,00000;2;100,00000;27;10,00000;238;3,50000;2490;2,00000;13275,00000;26743,70000;13.1.2018
145;13.1.2018;2;1;5;7;0;2;1;0;0,00000;0;500,00000;4;100,00000;26;10,00000;288;3,50000;2862;2,00000;15634,00000;27942,07000;16.1.2018
146;16.1.2018;3;0;0;7;1;1;0;0;0,00000;1;500,00000;0;100,00000;27;10,00000;246;3,50000;2289;2,00000;13169,50000;26690,11000;20.1.2018
147;20.1.2018;3;1;5;6;0;9;0;0;0,00000;0;500,00000;4;100,00000;17;10,00000;313;3,50000;3022;2,00000;17119,00000;28696,45000;23.1.2018
148;23.1.2018;4;6;4;2;6;7;6;0;0,00000;0;500,00000;4;100,00000;19;10,00000;230;3,50000;2462;2,00000;13721,50000;26970,52000;27.1.2018
149;27.1.2018;4;5;8;5;8;4;4;0;0,00000;0;500,00000;6;100,00000;38;10,00000;327;3,50000;3203;2,00000;17798,00000;29041,38000;30.1.2018
150;30.1.2018;5;4;9;0;3;6;9;0;0,00000;0;500,00000;1;100,00000;21;10,00000;252;3,50000;2434;2,00000;13683,50000;26951,22000;3.2.2018
151;3.2.2018;5;9;0;9;7;0;5;0;0,00000;0;500,00000;2;100,00000;31;10,00000;312;3,50000;3272;2,00000;18051,00000;29169,91000;6.2.2018
152;6.2.2018;6;9;6;4;0;3;7;0;0,00000;0;500,00000;3;100,00000;22;10,00000;258;3,50000;2507;2,00000;13641,50000;26929,88000;10.2.2018
153;10.2.2018;6;8;9;4;3;3;2;0;0,00000;1;500,00000;2;100,00000;26;10,00000;311;3,50000;3193;2,00000;17163,00000;28718,80000;13.2.2018
154;13.2.2018;7;6;9;9;1;5;8;0;0,00000;1;500,00000;6;100,00000;33;10,00000;229;3,50000;2556;2,00000;14141,00000;27183,63000;17.2.2018
155;17.2.2018;7;6;0;5;9;8;9;0;0,00000;1;500,00000;3;100,00000;29;10,00000;326;3,50000;3150;2,00000;16821,50000;28545,32000;20.2.2018
156;20.2.2018;8;9;9;3;5;8;9;0;0,00000;0;500,00000;3;100,00000;23;10,00000;225;3,50000;2555;2,00000;13980,50000;27102,09000;24.2.2018
