KENOID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
255;19.9.1996;38;5;6;15;18;20;25;27;37;38;39;45;55;56;58;59;63;64;65;70;79
256;20.9.1996;38;3;6;7;9;11;14;21;24;29;35;40;45;46;56;57;61;67;69;73;80
257;21.9.1996;38;3;7;18;21;22;28;33;41;44;47;54;55;56;59;60;63;64;67;72;80
258;23.9.1996;38;4;7;9;10;15;23;25;27;32;36;37;44;51;54;57;60;61;71;72;78
259;24.9.1996;38;1;6;12;13;14;37;47;51;53;55;59;61;62;63;71;75;76;77;79;80
260;25.9.1996;38;3;6;13;16;20;23;27;30;31;36;48;57;60;61;62;63;70;72;75;79
261;26.9.1996;39;8;12;17;25;37;39;41;42;47;48;50;53;58;60;65;66;72;76;78;79
262;27.9.1996;39;3;6;7;10;12;13;14;16;17;18;20;34;36;37;43;49;52;61;65;68
263;28.9.1996;39;3;6;7;8;16;22;25;31;33;38;41;45;47;50;55;65;74;77;79;80
264;30.9.1996;39;2;4;6;15;17;19;27;29;48;49;50;51;54;55;56;61;67;70;76;80
