ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;JACKPOT;VKLAD;NA_VYHRY
128;17.1.2015;3;8;6;8;1;3;4;0;0,00000;0;1200,00000;2;150,00000;15;30,00000;155;2,50000;1354;0,50000;2618,50000;4481,70000;4433,00000
129;18.1.2015;3;5;8;7;0;0;2;0;0,00000;0;1200,00000;2;150,00000;12;30,00000;128;2,50000;1266;0,50000;3109,25000;4207,50000;4722,25000
130;19.1.2015;4;7;9;6;4;3;6;0;0,00000;0;1200,00000;0;150,00000;13;30,00000;141;2,50000;1333;0,50000;3898,95000;4397,40000;5307,95000
131;20.1.2015;4;8;0;9;6;7;4;0;0,00000;0;1200,00000;3;150,00000;11;30,00000;127;2,50000;1310;0,50000;4375,60000;4458,30000;6128,10000
132;21.1.2015;4;8;2;7;5;9;9;0;0,00000;0;1200,00000;1;150,00000;15;30,00000;137;2,50000;1309;0,50000;4993,80000;4430,40000;6590,80000
133;22.1.2015;4;8;1;2;0;4;2;0;0,00000;0;1200,00000;0;150,00000;19;30,00000;129;2,50000;1373;0,50000;5685,35000;4541,10000;7264,35000
134;23.1.2015;4;8;0;8;2;3;5;0;0,00000;0;1200,00000;3;150,00000;15;30,00000;144;2,50000;1442;0,50000;6043,00000;4677,30000;8024,00000
135;24.1.2015;4;9;0;6;4;2;8;0;0,00000;0;1200,00000;2;150,00000;13;30,00000;106;2,50000;1359;0,50000;6552,45000;4287,90000;8186,95000
136;25.1.2015;4;0;6;9;4;4;4;0;0,00000;2;1200,00000;0;150,00000;15;30,00000;125;2,50000;1197;0,50000;4765,60000;3948,30000;8526,60000
137;26.1.2015;5;0;6;4;2;8;8;0;0,00000;0;1200,00000;0;150,00000;15;30,00000;110;2,50000;1325;0,50000;5480,80000;4205,40000;6868,30000
138;27.1.2015;5;8;2;6;3;5;2;0;0,00000;0;1200,00000;0;150,00000;14;30,00000;127;2,50000;1290;0,50000;6222,45000;4248,30000;7604,95000
139;28.1.2015;5;6;2;3;4;6;7;0;0,00000;0;1200,00000;0;150,00000;14;30,00000;124;2,50000;1246;0,50000;6993,75000;4248,60000;8346,75000
140;29.1.2015;5;7;2;8;2;4;1;0;0,00000;0;1200,00000;2;150,00000;4;30,00000;133;2,50000;1309;0,50000;7726,20000;4278,90000;9133,20000
141;30.1.2015;5;2;8;2;4;4;7;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;146;2,50000;1252;0,50000;8257,55000;4124,70000;9788,55000
142;31.1.2015;5;6;5;2;4;5;5;0;0,00000;0;1200,00000;1;150,00000;14;30,00000;115;2,50000;1143;0,50000;8820,10000;3983,10000;10249,10000
143;1.2.2015;5;5;5;6;8;3;4;0;0,00000;0;1200,00000;1;150,00000;16;30,00000;95;2,50000;1129;0,50000;9277,50000;3778,80000;10709,50000
144;2.2.2015;6;7;1;3;4;3;4;0;0,00000;0;1200,00000;0;150,00000;13;30,00000;108;2,50000;1210;0,50000;10041,70000;4058,40000;11306,70000
145;3.2.2015;6;7;3;3;5;4;5;0;0,00000;0;1200,00000;2;150,00000;11;30,00000;121;2,50000;1233;0,50000;10509,00000;4032,60000;12058,00000
146;4.2.2015;6;5;0;6;5;2;4;0;0,00000;0;1200,00000;4;150,00000;13;30,00000;102;2,50000;1219;0,50000;10651,30000;3993,60000;12505,80000
147;5.2.2015;6;0;6;9;5;9;4;0;0,00000;0;1200,00000;1;150,00000;7;30,00000;114;2,50000;1291;0,50000;11471,90000;4222,20000;12762,40000
148;6.2.2015;6;5;8;3;2;5;2;0;0,00000;0;1200,00000;1;150,00000;16;30,00000;124;2,50000;1302;0,50000;12044,65000;4327,50000;13635,65000
149;7.2.2015;6;4;7;8;4;0;2;0;0,00000;0;1200,00000;1;150,00000;14;30,00000;135;2,50000;1278;0,50000;12534,25000;4072,20000;14080,75000
150;8.2.2015;6;1;2;1;3;4;8;0;0,00000;0;1200,00000;2;150,00000;5;30,00000;114;2,50000;1091;0,50000;13114,05000;3720,60000;14394,55000
151;9.2.2015;7;6;0;1;8;0;4;0;0,00000;1;1200,00000;2;150,00000;15;30,00000;118;2,50000;1147;0,50000;12257,10000;3923,10000;15075,60000
152;10.2.2015;7;6;5;4;9;1;9;0;0,00000;0;1200,00000;0;150,00000;6;30,00000;108;2,50000;1154;0,50000;13275,95000;4091,70000;14302,95000
153;11.2.2015;7;1;0;2;2;9;3;0;0,00000;0;1200,00000;1;150,00000;15;30,00000;119;2,50000;1241;0,50000;13831,70000;4147,50000;15349,70000
154;12.2.2015;7;8;0;3;7;6;6;0;0,00000;0;1200,00000;1;150,00000;18;30,00000;123;2,50000;1311;0,50000;14374,85000;4392,30000;16027,85000
155;13.2.2015;7;4;5;0;8;8;7;0;0,00000;0;1200,00000;1;150,00000;16;30,00000;153;2,50000;1467;0,50000;15010,55000;4763,40000;16756,55000
156;14.2.2015;7;6;6;8;8;6;6;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;129;2,50000;1278;0,50000;15684,05000;4350,00000;17185,55000
157;15.2.2015;7;6;7;7;9;4;8;0;0,00000;0;1200,00000;1;150,00000;15;30,00000;115;2,50000;1226;0,50000;16196,85000;4026,60000;17697,35000
158;16.2.2015;8;7;7;5;8;0;7;0;0,00000;0;1200,00000;4;150,00000;17;30,00000;112;2,50000;1242;0,50000;16268,45000;4165,20000;18279,45000
