ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
126;27.9.1959;39;32;12;34;26;13;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;4.10.1959
127;4.10.1959;40;1;40;6;21;8;23;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;11.10.1959
128;11.10.1959;41;11;20;36;44;22;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;18.10.1959
129;18.10.1959;42;41;24;49;13;36;28;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;25.10.1959
130;25.10.1959;43;37;36;2;1;26;19;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;1.11.1959
131;1.11.1959;44;49;31;37;41;47;5;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;8.11.1959
132;8.11.1959;45;9;26;36;14;31;18;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;15.11.1959
133;15.11.1959;46;46;5;4;12;8;7;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;22.11.1959
134;22.11.1959;47;39;1;43;37;38;15;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;29.11.1959
135;29.11.1959;48;31;12;42;39;36;9;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;6.12.1959
136;6.12.1959;49;24;1;22;39;15;35;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;13.12.1959
137;13.12.1959;50;18;49;16;29;28;38;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;20.12.1959
138;20.12.1959;51;28;44;49;34;13;7;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;3.1.1960
139;3.1.1960;1;10;18;17;40;26;20;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;10.1.1960
140;10.1.1960;2;47;17;25;1;20;23;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;17.1.1960
141;17.1.1960;3;6;16;43;27;36;23;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;24.1.1960
142;24.1.1960;4;44;37;7;16;40;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;31.1.1960
143;31.1.1960;5;16;10;15;36;30;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.2.1960
144;7.2.1960;6;30;5;31;21;33;4;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.2.1960
145;14.2.1960;7;29;10;47;44;20;3;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.2.1960
146;21.2.1960;8;10;16;8;4;48;41;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;28.2.1960
147;28.2.1960;9;31;26;47;49;39;10;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;6.3.1960
148;6.3.1960;10;38;8;6;35;19;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;13.3.1960
149;13.3.1960;11;8;37;14;29;49;28;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;20.3.1960
150;20.3.1960;12;48;2;44;39;3;8;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;27.3.1960
151;27.3.1960;13;44;22;20;4;42;36;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;3.4.1960
152;3.4.1960;14;5;29;12;23;20;28;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;10.4.1960
153;10.4.1960;15;31;30;35;20;15;17;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;17.4.1960
154;17.4.1960;16;26;47;24;7;10;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;24.4.1960
155;24.4.1960;17;42;38;25;8;19;17;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;1.5.1960
156;1.5.1960;18;47;32;26;35;40;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;8.5.1960
157;8.5.1960;19;27;40;4;24;21;49;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;15.5.1960
158;15.5.1960;20;46;5;2;43;44;33;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;22.5.1960
159;22.5.1960;21;5;30;11;26;46;39;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;29.5.1960
160;29.5.1960;22;37;27;38;18;21;28;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;5.6.1960
