MATESID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;1_SUMA_VYH;1_POCET_VYH;2_SUMA_VYH;2_POCET_VYH;3_SUMA_VYH;3_POCET_VYH;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
137;5.4.1998;14;4;7;12;29;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
138;12.4.1998;15;1;9;15;28;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
139;19.4.1998;16;15;16;23;33;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
140;26.4.1998;17;7;9;12;20;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
141;3.5.1998;18;3;16;22;25;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
142;10.5.1998;19;2;4;6;20;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
143;17.5.1998;20;9;20;30;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
144;24.5.1998;21;7;8;13;15;18;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
145;31.5.1998;22;9;12;14;16;20;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
146;7.6.1998;23;5;11;27;30;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
147;14.6.1998;24;1;5;13;18;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
148;21.6.1998;25;4;13;16;22;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
149;28.6.1998;26;5;6;14;16;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
150;5.7.1998;27;8;12;23;25;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
151;12.7.1998;28;1;3;7;12;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
152;19.7.1998;29;2;17;20;30;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
153;26.7.1998;30;8;10;15;20;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
154;2.8.1998;31;2;14;17;18;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
155;9.8.1998;32;15;16;17;24;25;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
156;16.8.1998;33;10;14;16;25;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
157;23.8.1998;34;7;18;21;23;28;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
158;30.8.1998;35;8;11;23;27;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
159;6.9.1998;36;12;18;25;28;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
160;13.9.1998;37;12;24;30;33;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
161;20.9.1998;38;2;3;18;23;26;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
162;27.9.1998;39;6;10;12;18;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
163;4.10.1998;40;6;7;18;31;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
164;11.10.1998;41;5;7;10;20;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
165;18.10.1998;42;2;8;17;19;20;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
166;25.10.1998;43;6;17;25;28;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
167;1.11.1998;44;12;17;23;25;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
168;8.11.1998;45;17;19;23;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
169;15.11.1998;46;4;14;18;22;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
170;22.11.1998;47;4;9;14;17;27;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
171;29.11.1998;48;16;19;23;24;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
172;6.12.1998;49;21;24;28;30;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
173;13.12.1998;50;12;31;32;33;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
174;20.12.1998;51;1;2;7;14;23;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
175;27.12.1998;52;1;16;25;34;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
176;3.1.1999;53;4;16;17;23;25;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
177;10.1.1999;2;3;5;9;22;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
178;17.1.1999;3;3;9;12;24;26;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
179;24.1.1999;4;11;15;23;24;25;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
180;31.1.1999;5;1;4;6;7;15;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
181;7.2.1999;6;3;6;9;20;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
182;14.2.1999;7;5;8;11;15;21;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
183;21.2.1999;8;13;28;29;30;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
201;28.2.1999;9;3;12;20;25;33;0.00;0;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;
185;18.4.1999;16;4;7;20;21;24;0.00;0;2278.00;52;102.00;1924;151455.00;786870.00;466159.00;0.00;0.00;
184;2.5.1999;18;5;12;13;15;21;0.00;0;2430.00;42;96.00;1766;67917.00;679025.00;339513.00;0.00;0.00;
186;9.5.1999;19;2;9;16;20;23;0.00;0;882.00;105;100.00;1715;160639.50;713665.00;424749.50;0.00;0.00;
187;16.5.1999;20;6;12;13;25;31;246805.00;1;1132.00;76;100.00;2176;0.00;779595.00;550437.00;0.00;0.00;
188;23.5.1999;21;1;4;19;23;32;0.00;0;1190.00;68;100.00;2037;80922.50;731085.00;365542.50;0.00;0.00;
189;30.5.1999;22;11;13;31;32;33;0.00;0;1349.00;57;100.00;2064;157922.00;720585.00;441215.00;0.00;0.00;
190;6.6.1999;23;3;6;8;15;27;0.00;0;808.00;80;100.00;2250;222704.50;708845.00;512344.50;0.00;0.00;
